titulo,descricao,formacao
"0303-05 Tenente do Corpo de Bombeiros Militar - Oficial subalterno do 
Corpo de Bombeiros Militar; Primeiro-tenente bombeiro militar; Primeiro-tenente 
do Corpo de Bombeiros; Segundo-tenente bombeiro militar; Segundo-tenente do 
Corpo de Bombeiros.","Comandam pelotões e postos de bombeiros; coordenam serviços operacionais; atuam 
na prevenção e normatização de sistemas e equipamentos de prevenção e combate a 
incêndio. Planejam atividades operacionais e administrativas e administram recursos 
humanos, financeiros e logísticos. Desenvolvem atividades de ensino e instrução e cui­
dam das informações e da comunicação social do Corpo de Bombeiros.","Para o exercício profissional requer-se formação superior completa. Os aspirantes a 
tenente sem curso superior deverão ter quinze anos de experiência e ser aprovados em 
concurso interno na corporação."
"0311-05 Subtenente Bombeiro Militar - Subtenente do corpo de Bombeiros 
Militar.
0311-10 Sargento Bombeiro Militar - Sargento do Corpo de Bombeiros Militar.","Previnem sinistros e acidentes; realizam salvamento, combatem incêndios e prestam 
atendimento pré-hospitalar. Controlam acidentes com produtos perigosos, comandam 
equipes de serviços de prontidão e chefiam guarnições.  No desenvolvimento das ativi­
dades, a rapidez e a eficácia da comunicação são cruciais, tanto para atender ocorrên­
cias como para tranquilizar vítimas e orientar a população.","Para ingressar nessas ocupações é exigida formação de ensino médio, acrescida de cur­
so profissionalizante com duração superior a quatrocentas horas/aula, ministrado em 
escolas especializadas. O pleno exercício profissional ocorre com mais de quatro anos 
de atuação na área, quando se trata dos sargentos bombeiros. No caso dos subtenen­
tes, a experiência desejável deve ser superior a cinco anos. Os sargentos e subtenentes 
com mais experiência e tempo de serviço passaram anteriormente pelas graduações 
de cabo e soldado. Esses profissionais, além de executarem atividades administrativas 
de bombeiro militar, são chefes de guarnições de bombeiros militares e assumem o 
comando de destacamentos internos."
"0312-05 Cabo Bombeiro Militar
0312-10 Soldado Bombeiro Militar","Realizam resgates e salvamentos; combatem incêndios;  previnem acidentes e sinistros; 
preparam-se para ocorrências.  Atendem ocorrências com produtos perigosos.  Traba­
lham conforme normas e procedimentos técnicos, de segurança e preservação do meio 
ambiente. Estabelecem comunicação, triando e transmitindo informações, transmitindo 
e recebendo mensagens.","O exercício profissional requer ensino médio. A profissionalização ocorre no próprio local 
de trabalho, após treinamento com carga horária superior a quatrocentas horas/aula."
"1111-05 Senador
1111-10 Deputado Federal
1111-15 Deputado Estadual e Distrital
1111-20 Vereador","Estudam as matérias previstas nas constituições federal e estaduais e deliberam sobre 
as mesmas; elaboram regimentos e discutem e votam o orçamento; dispõem sobre 
diversas matérias de competência da união, estados e municípios, como tributos, ar­
recadação, distribuição de rendas, orçamentos, créditos, dívidas públicas, planos de 
desenvolvimento, criação de cargos públicos, limites territoriais e organização adminis­
trativa e judiciária; dispõem sobre matérias de interesse nacional, bem como tratados 
e outros assuntos internacionais.","O acesso a essas ocupações ocorre pelo voto direto e secreto, nos termos da lei."
"1112-05 Presidente da República
1112-10 Vice-Presidente da República
1112-15 Ministro de Estado
1112-20 Secretário-Executivo
1112-25 Membro Superior do Poder Executivo
1112-30 Governador de Estado
1112-35 Governador do Distrito Federal
1112-40 Vice-Governador de Estado
1112-45 Vice-Governador do Distrito Federal
1112-50 Prefeito
1112-55 Vice-Prefeito","Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­
tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução 
das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e 
segurança do país e a defesa das instituições.","O acesso ao cargo de presidente e vice-presidente da República, governador  e vice-
governador de estado e do Distrito Federal, prefeito e vice-prefeito ocorre pelo voto 
direto e secreto, com igual valor para todos, e, nos termos da lei. O ministro de es­
tado e o secretário-executivo serão escolhidos dentre brasileiros maiores de vinte e 
um anos e, no seu exercício dos direitos políticos e nomeados pelo seu superior. A(s) 
ocupação(ões) elencada(s) nesta família ocupacional demanda formação profissional 
para efeitos do cálculo do número de aprendizes a serem contratados pelos estabele­
cimentos, nos termos do artigo 429 da Consolidação das Leis do Trabalho - CLT, exceto 
os casos previstos no art. 10 do Decreto 5.598/2005."
"1113-05 Ministro do Supremo Tribunal Federal
1113-10 Ministro do Superior Tribunal de Justiça
1113-15 Ministro do Superior Tribunal Militar
1113-20 Ministro do Superior Tribunal do Trabalho - Juiz do Tribunal Regio­
nal do Trabalho; Juiz federal  de segunda  instância.
1113-25 Juiz de Direito - Desembargadores; Juiz de alçada; Juiz de direito de 
primeira instância
1113-30 Juiz Federal - Juiz do Tribunal Regional Federal.
1113-35 Juiz Auditor Federal - Justiça Militar
1113-40 Juiz Auditor Estadual - Justiça Militar - Juiz dos tribunais militares 
estaduais.","Decidem conflitos individuais e coletivos em nome do estado, aplicando o direito a casos 
concretos, para isso, dirigem sessões e audiências judiciais, estabelecem critérios para a 
promoção da igualdade das partes, avaliam necessidade de provas para um julgamento 
seguro, decretam condenações ou absolvições em processos criminais, entre outras coisas; 
conciliam interesses, ouvindo e convocando as partes e propondo alternativas de acor­
do; efetivam o cumprimento das decisões; homologam situações não conflituosas; gerem 
atividades administrativas do judiciário; coordenam processo eleitoral; exercem atividades 
correlatas à função jurisdicional e organizam jurisprudência.","O acesso a essas ocupações ocorre por concurso público aberto a bacharéis em direito. A 
partir de mais de cinco anos, podem ascender à função de ministro de tribunal por indi­
cação do presidente da República. A(s) ocupação(ões) elencada(s) nesta família ocupa­
cional demanda formação profissional para efeitos do cálculo do número de aprendizes 
a serem contratados pelos estabelecimentos, nos termos do artigo 429 da Consolidação 
das Leis do Trabalho - CLT, exceto os casos previstos no art. 10 do Decreto 5.598/2005."
"1114-05 Dirigente do serviço público federal - Conselheiro (diplomacia); Coor­
denador  do serviço público federal; Coordenador-geral do serviço público federal; Dire­
tor do serviço público federal; Funcionário público federal superior; Gerente do serviço 
público federal; Ministro (diplomacia); Secretário de estado (serviço público federal); 
Secretário (diplomacia); Subsecretário de estado (serviço público federal).
1114-10 Dirigente do serviço público estadual e distrital - Chefe do serviço 
público estadual e distrital; Coordenador do serviço público estadual e distrital; Fun­
cionário público estadual e distrital superior; Gerente do serviço público estadual e 
distrital; Secretário estadual e distrital (serviço público estadual e distrital).
1114-15 Dirigente do serviço público municipal - Chefe de assessoria técnica 
do serviço público municipal; Chefe de gabinete do serviço público municipal; Diretor 
de departamento do  serviço público municipal; Diretor de divisão do serviço públi­
co municipal; Funcionário público municipal superior; Secretário municipal (serviço 
público municipal).","Garantem suporte na gestão de pessoas, na administração de material, patrimônio, in­
formática e serviços para as áreas meios e finalísticas da administração pública federal, 
estadual, distrital e municipal. Definem diretrizes, planejam, coordenam e supervisio­
nam ações, monitorando resultados e fomentando políticas de mudança.","Para o exercício desses cargos, geralmente é exigida escolaridade de nível superior e 
seu provimento é por indicação superior. É vedado o ingresso nesses cargos ao cidadão 
que estiver respondendo a processos criminais ou administrativos. A(s) ocupação(ões) 
elencada(s) nesta família ocupacional demanda formação profissional para efeitos do 
cálculo do número de aprendizes a serem contratados pelos estabelecimentos, nos 
termos do artigo 429 da Consolidação das Leis do Trabalho - CLT, exceto os casos 
previstos no art. 10 do Decreto 5.598/2005."
"1115-05 Especialista de políticas públicas e gestão governamental – Eppgg
1115-10 Analista de planejamento e orçamento – Apo","Formulam, implementam e avaliam políticas públicas, supervisionam e executam ativi­
dades de planejamento e orçamento governamental de qualquer instituição da admi­
nistração federal.","Para o exercício desses cargos, é exigida escolaridade de nível superior, geralmente 
o provimento dos cargos é via concurso público, pode-se demandar aprendizagem 
profissional para a(s) ocupação(ões) elencada(s) nesta família ocupacional, exceto os 
casos previstos no art. 10 do Decreto 5.598/2005."
"1130-05 Cacique - Morubixaba; Tuxaua.
1130-10 Líder de comunidade caiçara
1130-15 Membro de liderança quilombola - Coordenador de associação quilom­
bola; Líder quilombola.","Organizam coletivamente as comunidades indígenas, quilombolas e caiçaras; pre­
servam usos, costumes e artes da aldeia e da comunidade. Cobram providências 
para demarcação e manejo da área indígena, quilombola e caiçara. Articulam 
questões políticas; reivindicam melhorias para educação e saúde; buscam recur­
sos em órgãos competentes. Providenciam e solicitam documentação. Realizam a 
manutenção e a preservação da medicina tradicional. Cobram a implantação de 
gestão dos recursos naturais.","Essas funções são desempenhadas por lideranças internas nas aldeias e comunidades, 
de acordo com as tradições e os costumes de cada povo ou comunidade indígena, qui­
lombola e caiçara. A(s) ocupação(ões) elencada(s) nesta família ocupacional demanda 
formação profissional para efeitos do cálculo do número de aprendizes a serem contra­
tados pelos estabelecimentos, nos termos do artigo 429 da Consolidação das Leis do 
Trabalho - CLT, exceto os casos previstos no art. 10 do Decreto 5.598/2005."
"1141-05 Dirigente de partido político - Dirigente partidário; Dirigente político; 
Líder partidário.","Desenvolvem ações político-partidárias; promovem eventos políticos; estruturam o par­
tido; coordenam campanhas eleitorais; administram recursos financeiros e gerenciam 
recursos humanos e materiais; atendem à legislação vigente e comunicam-se oral­
mente  e por escrito, divulgando informações, ações e eventos do partido, elaborando 
relatórios, materiais de divulgação, manuais de orientação, entre outros.","Essas ocupações podem ser exercidas por qualquer cidadão brasileiro nato ou naturali­
zado, maior de idade, em conformidade às leis vigentes. A(s) ocupação(ões) elencada(s) 
nesta família ocupacional demanda formação profissional para efeitos do cálculo do nú­
mero de aprendizes a serem contratados pelos estabelecimentos, nos termos do artigo 
429 da Consolidação das Leis do Trabalho - CLT, exceto os casos previstos no art. 10 do 
Decreto 5.598/2005."
"1142-05 Dirigentes de entidades de trabalhadores - Diretor de sindi­
cato de trabalhadores.
1142-10 Dirigentes de entidades patronais - Diretor de sindicato patronal.","Defendem interesses e identificam demandas de associados e represen­
tados; administram e representam entidades; coordenam assistência a 
associados e representados; propõem políticas de atuação e mobilizam 
associados e representados.","Para se exercer as atividades nessas ocupações, não se requer escolaridade ou 
quaisquer cursos de qualificação. O exercício pleno das funções se dá após o 
período de um ano de experiência profissional. A(s) ocupação(ões) elencada(s) 
nesta família ocupacional demanda formação profissional para efeitos do cál­
culo do número de aprendizes a serem contratados pelos estabelecimentos, 
nos termos do artigo 429 da Consolidação das Leis do Trabalho - CLT, exceto 
os casos previstos no art. 10 do Decreto 5.598/2005."
"1143-05 Dirigente e administrador de organização religiosa - Coordenador de 
entidade religiosa; Diretor de entidade religiosa; Gestor de entidade religiosa; Secretá­
rio-executivo de entidade religiosa.","Implementam a missão religiosa; representam, jurídica e legalmente, a instituição; geren­
ciam operações administrativas e financeiras; coordenam atividades; articulam recursos hu­
manos e materiais; comunicam-se oralmente e por escrito.","Em determinadas instituições e entidades religiosas, a função de direção e gestão é 
exercida por pessoas com formação religiosa profissional de modo geral, requer-se 
que os trabalhadores dessa família ocupacional tenham escolaridade de nível superior. 
O tempo exigido para o pleno exercício das funções é de, no mínimo, cinco anos de 
experiência profissional. A(s) ocupação(ões) elencada(s) nesta família ocupacional de­
manda formação profissional para efeitos do cálculo do número de aprendizes a serem 
contratados pelos estabelecimentos, nos termos do artigo 429 da Consolidação das 
Leis do Trabalho - CLT, exceto os casos previstos no art. 10 do Decreto 5.598/2005."
"1144-05 Dirigente e administrador de organização da sociedade civil 
sem fins lucrativos - Dirigente de clube e associação esportiva; Dirigente de 
organização de defesa de direitos; Dirigente de organização de desenvolvimen­
to cultural; Dirigente de organização de proteção ao meio ambiente; Dirigente 
de organização filantrópica; Dirigente de organização humanitária; Dirigente de 
organização não-governamental.","Promovem a sustentabilidade institucional; articulam alianças; representam a 
instituição e planejam políticas e estratégias. Comunicam-se, oralmente e por 
escrito; desenvolvem políticas e estratégias de recursos humanos; gerenciam 
operações administrativas e financeiras e coordenam atividades.","O trabalho é exercido, normalmente, por profissionais de nível superior, de re­
conhecida probidade e competência administrativas,  eleitos ou indicados con­
forme normas legais e estatutárias das organizações que dirigem. Essas ocupa­
ções são exercidas por pessoas com escolaridade de nível superior, acrescida de 
cursos básicos de até 200 horas. O desempenho pleno das funções ocorre após 
cinco anos de experiência profissional. A(s) ocupação(ões) elencada(s) nesta fa­
mília ocupacional demanda formação profissional para efeitos do cálculo do 
número de aprendizes a serem contratados pelos estabelecimentos, nos termos 
do artigo 429 da Consolidação das Leis do Trabalho - CLT, exceto os casos pre­
vistos no art. 10 do Decreto 5.598/2005."
"1210-05 Diretor de planejamento estratégico
1210-10 Diretor geral de empresa e organizações (exceto de interesse público)","Os diretores gerais, no mais alto nível da empresa, asseguram cumprimento da missão na 
empresa; estabelecem estratégias operacionais; determinam política de recursos humanos; 
coordenam diretorias e supervisionam negócios da empresa. Negociam transferência de 
tecnologia; representam e preservam a imagem da empresa; comunicam-se por meio de 
reuniões com os demais diretores, concedem entrevistas e participam de negociações.","Essas ocupações são exercidas por pessoas com escolaridade de nível superior. Podem 
participar de cursos de aperfeiçoamento durante a trajetória profissional. O preparo 
para funções de direção geral ocorre após cinco anos de experiência em funções análo­
gas. A(s) ocupação(ões) elencada(s) nesta família ocupacional demanda formação pro­
fissional para efeitos do cálculo do número de aprendizes a serem contratados pelos 
estabelecimentos, nos termos do artigo 429 da Consolidação das Leis do Trabalho - CLT, 
exceto os casos previstos no art. 10 do Decreto 5.598/2005."
"1221-05 Diretor de produção e operações em empresa agropecuária - Dire­
tor de produção na agropecuária.
1221-10 Diretor de produção e operações em empresa aquícola
1221-15 Diretor de produção e operações em empresa florestal - Diretor de 
produção em empresa florestal.
1221-20 diretor de produçãoe operações em empresa pesqueira - Diretor de 
produção em empresa pesqueira.","Dirigem as atividades de produção e operação em empresas como representantes dos 
proprietários ou acionistas ou por conta própria e, para tanto, definem políticas de 
gestão da empresa; estabelecem planejamento estratégico; avaliam desempenho da 
produção; traçam estratégias comerciais; administram os recursos da empresa; partici­
pam de negociações e promovem pesquisa e desenvolvimento.","Essas ocupações requerem, no mínimo,  o curso superior completo, predominantemente 
nas áreas de conhecimento da agronomia, zootecnia, veterinária, biologia, oceanografia 
ou engenharia de pesca. É desejável  que os titulares das ocupações tenham experiência 
anterior por período superior a cinco anos, quando recrutados externamente; o acesso 
a essas ocupações pode se dar, também, por intermédio de progressão na hierarquia, 
internamente à empresa. As ocupações podem, ainda, ser exercidas por proprietários de 
empresas, com experiência no ramo de atividade, sem requerimentos específicos de es­
colaridade. A(s) ocupação(ões) elencada(s) nesta família ocupacional demanda formação 
profissional para efeitos do cálculo do número de aprendizes a serem contratados pelos 
estabelecimentos, nos termos do artigo 429 da Consolidação das Leis do Trabalho - CLT, 
exceto os casos previstos no art. 10 do Decreto 5.598/2005."
"1222-05 Diretor de produção e operações da indústria de transformação, 
extração mineral e utilidades - Diretor de produção em utilidades; Diretor de pro­
dução na indústria de transformação; Diretor de produção na mineração; Superinten­
dente de operações industriais.","Planejam e administram a produção; atuam na definição do planejamento estratégico; par­
ticipam na definição de políticas de rh; gerenciam logística; asseguram ações de gestão 
ambiental; gerenciam ações de qualidade; provêm condições de higiene e segurança do 
trabalho; comunicam-se oralmente e por escrito.","Para o exercício das funções dessa família ocupacional requer-se profissionais com 
escolaridade de ensino superior completo e com cinco anos de experiência para 
o pleno desempenho das atividades. A(s) ocupação(ões) elencada(s) nesta família 
ocupacional demanda formação profissional para efeitos do cálculo do número de 
aprendizes a serem contratados pelos estabelecimentos, nos termos do artigo 429 
da Consolidação das Leis do Trabalho - CLT, exceto os casos previstos no art. 10 do 
Decreto 5.598/2005."
"1223-05 Diretor de operações de obras pública e civil - Diretor de contratos 
de obras pública e civil; Diretor de obras pública e civil; Diretor de produção de obras 
pública e civil; Superintendente de contratos de operações de obras pública e civil.","Supervisionam contratos de obras, dirigem, como representantes dos proprietários, acio­
nistas ou por conta própria, as atividades de desenvolvimento e operações de negócios de 
empresas de construção; participam do planejamento estratégico da empresa, planejam 
atividades técnicas e definem tecnologias de construção; administram recursos humanos, 
analisam viabilidade técnica e econômica de contratos e empreendimentos e gerenciam 
atendimento pós-venda.","Para ingressar nesse emprego/ocupação é exigido curso superior completo. A formação 
profissional é feita na prática, com cinco anos ou mais de experiência na área. A(s) 
ocupação(ões) elencada(s) nesta família ocupacional demanda formação profissional 
para efeitos do cálculo do número de aprendizes a serem contratados pelos estabele­
cimentos, nos termos do artigo 429 da Consolidação das Leis do Trabalho - CLT, exceto 
os casos previstos no art. 10 do Decreto 5.598/2005."
1224-05 Diretor de operações comerciais (comércio atacadista e varejista),"Estabelecem diretrizes e operações do comércio; coordenam recursos humanos e ad­
ministram recursos materiais e financeiros. Dirigem operações do comércio; participam 
de atividades de marketing; implantam filiais e representações comerciais; comunicam-
se em seminários, palestras, entrevistas e em contatos e negociações comerciais com 
clientes e distribuidores.","O exercício dessa ocupação requer escolaridade de ensino superior completo. A qualifi­
cação para o desempenho pleno das atividades profissionais ocorre após o período de 
cinco anos de experiência em funções análogas. A(s) ocupação(ões) elencada(s) nesta 
família ocupacional demanda formação profissional para efeitos do cálculo do número 
de aprendizes a serem contratados pelos estabelecimentos, nos termos do artigo 429 
da Consolidação das Leis do Trabalho - CLT, exceto os casos previstos no art. 10 do 
Decreto 5.598/2005."
"1225-05 Diretor de  produção e operações de alimentação
1225-10 Diretor de  produção e operações de hotel
1225-15 Diretor de  produção e operações de turismo","Dirigem, no mais alto nível, e como representantes dos proprietários ou acionistas ou por 
conta própria, as atividades de produção e operação de empresas de prestação de serviços 
em turismo, alimentação e hotelaria. Definem política e diretrizes; traçam plano operacional; 
operacionalizam negócios; produzem resultados; coordenam equipes; garantem qualidade 
de produtos e serviços; analisam mercado e atuam como relações públicas.","Essas ocupações são exercidas por pessoas com escolaridade de ensino superior acres­
cida de programas de treinamento e especialização, correlatos às suas atividades. O 
pleno exercício das atividades profissionais se dá após cinco anos de experiência. A(s) 
ocupação(ões) elencada(s) nesta família ocupacional demanda formação profissional 
para efeitos do cálculo do número de aprendizes a serem contratados pelos estabele­
cimentos, nos termos do artigo 429 da Consolidação das Leis do Trabalho - CLT, exceto 
os casos previstos no art. 10 do Decreto 5.598/2005."
"1226-05 Diretor de operações de correios - Coordenador-geral de operações de 
correios; Diretor de correios.
1226-10 Diretor de operações de serviços de armazenamento - Diretor de 
gestão portuária; Gerente de terminal em operações de armazenamento.
1226-15 Diretor de operações de serviços de telecomunicações - Diretor de 
operações de radiodifusão; Diretor de redes (telecomunicações); Diretor regional (tele­
comunicações).
1226-20 Diretor de operações de serviços de transporte - Diretor de logística 
em operações de transportes.","Viabilizam execução de metas operacionais em empresas de armazenamento, trans­
portes e telecomunicações; organizam operações e controlam a execução de serviços; 
executam programas e normas; participam do planejamento operacional; coordenam 
atividades gerenciais e atuam como representantes legais da empresa.","Essas ocupações são exercidas por pessoas com ensino superior completo. O exercício 
pleno das atividades profissionais se dá após cinco anos de experiência na área. A(s) 
ocupação(ões) elencada(s) nesta família ocupacional demanda formação profissional 
para efeitos do cálculo do número de aprendizes a serem contratados pelos estabele­
cimentos, nos termos do artigo 429 da Consolidação das Leis do Trabalho - CLT, exceto 
os casos previstos no art. 10 do Decreto 5.598/2005."
