titulo,descricao,ocupacao,tarefa
0201-10 Tenente-Coronel da Polícia Militar,"Comandam unidades de Polícia Militar e elaboram plano diretor da instituição. Planejam ações estratégicas, definem ações táticas e executam ações operacionais. Gerenciam ativi­ dades administrativas, administram recursos humanos e mantêm hierarquia e disciplina.",020110,Abstrata
0201-15 Major da Polícia Militar,"Comandam unidades de Polícia Militar e elaboram plano diretor da instituição. Planejam ações estratégicas, definem ações táticas e executam ações operacionais. Gerenciam ativi­ dades administrativas, administram recursos humanos e mantêm hierarquia e disciplina.",020115,Abstrata
0202-05 Capitão da Polícia Militar,"Comandam operações de polícia ostensiva, planejam ações de policiamento ostensivo, desenvolvem policiamento comunitário. Gerenciam companhia de polícia e assessoram comando. Exercem poder disciplinar e presidem feitos de polícia judiciária militar.",020205,Abstrata
0203-05 Primeiro Tenente de Polícia Militar,"Comandam pelotão, coordenam policiamento ostensivo, reservado e velado; assesso­ ram comando, gerenciam recursos humanos e logísticos, participam do planejamento de ações e operações, desenvolvem processos e procedimentos administrativos mili­ tares, atuam na coordenação da comunicação social; promovem estudos técnicos e capacitação profissional.",020305,Abstrata
0203-10 Segundo Tenente de Polícia Militar,"Comandam pelotão, coordenam policiamento ostensivo, reservado e velado; assesso­ ram comando, gerenciam recursos humanos e logísticos, participam do planejamento de ações e operações, desenvolvem processos e procedimentos administrativos mili­ tares, atuam na coordenação da comunicação social; promovem estudos técnicos e capacitação profissional.",020310,Abstrata
0211-05 Subtenente da Polícia Militar,"Comandam o grupo e a guarda do quartel. Assessoram o comando, administram as ati­ vidades da unidade e participam na formação de policiais. Supervisionam policiamento ostensivo e organizam processos e procedimentos administrativo-militares. Atendem a ocorrências e as apresentam à autoridade competente. Prestam serviços comunitários.",021105,Abstrata
0211-10 Sargento da Policía Militar,"Comandam o grupo e a guarda do quartel. Assessoram o comando, administram as ati­ vidades da unidade e participam na formação de policiais. Supervisionam policiamento ostensivo e organizam processos e procedimentos administrativo-militares. Atendem a ocorrências e as apresentam à autoridade competente. Prestam serviços comunitários.",021110,Abstrata
0212-05 Cabo da Polícia Militar,"Realizam policiamento ostensivo preventivo fardado e atendem e solucionam ocorrên­ cias. Executam atividades operacionais e policiamento reservado. Restabelecem ordem pública, controlam distúrbios civis e garantem cumprimento de mandado judicial.",021205,Abstrata
0212-10 Soldado da Polícia Militar,"Realizam policiamento ostensivo preventivo fardado e atendem e solucionam ocorrên­ cias. Executam atividades operacionais e policiamento reservado. Restabelecem ordem pública, controlam distúrbios civis e garantem cumprimento de mandado judicial.",021210,Abstrata
0301-05 Coronel Bombeiro Militar - Coronel do Corpo de Bombeiros Militar.,"Definem estratégias e comandam unidades operacionais e administrativas do Corpo de Bombeiros, destinadas à proteção da vida e do patrimônio do cidadão e ao meio ambiente. Gerenciam pessoal e recursos financeiros; controlam logística e dirigem serviços de inteligência e de prevenção, de acordo com normas da instituição.",030105,Abstrata
0301-10 Major Bombeiro Militar - Major do Corpo de Bombeiros Militar.,"Definem estratégias e comandam unidades operacionais e administrativas do Corpo de Bombeiros, destinadas à proteção da vida e do patrimônio do cidadão e ao meio ambiente. Gerenciam pessoal e recursos financeiros; controlam logística e dirigem serviços de inteligência e de prevenção, de acordo com normas da instituição.",030110,Abstrata
0301-15 Tenente-Coronel Bombeiro Militar - Tenente-coronel do Corpo de Bom­ beiros Militar.,"Definem estratégias e comandam unidades operacionais e administrativas do Corpo de Bombeiros, destinadas à proteção da vida e do patrimônio do cidadão e ao meio ambiente. Gerenciam pessoal e recursos financeiros; controlam logística e dirigem serviços de inteligência e de prevenção, de acordo com normas da instituição.",030115,Abstrata
0302-05 Capitão Bombeiro Militar - Capitão do Corpo de Bombeiros Militar.,"Desenvolvem atividades administrativas em nível tático e operacional de bombeiro militar. Exercem funções de assessoramento e de comando de companhias de bombeiro militar, em espaço geográfico atribuído a um grupamento de bombeiros. Para tanto, adminis­ tram recursos humanos, materiais e financeiros; comandam atividades de prevenção de sinistros; planejam atividades operacionais e administrativas. Administram e coordenam atividades de emergências e de combate a incêndios. Estabelecem parcerias com institui­ ções afins e assessoram o comando em atividades operacionais e administrativas.",030205,Abstrata
0303-05 Tenente do Corpo de Bombeiros Militar - Oficial subalterno do  Corpo de Bombeiros Militar; Primeiro-tenente bombeiro militar; Primeiro-tenente  do Corpo de Bombeiros; Segundo-tenente bombeiro militar; Segundo-tenente do  Corpo de Bombeiros.,"Comandam pelotões e postos de bombeiros; coordenam serviços operacionais; atuam na prevenção e normatização de sistemas e equipamentos de prevenção e combate a incêndio. Planejam atividades operacionais e administrativas e administram recursos humanos, financeiros e logísticos. Desenvolvem atividades de ensino e instrução e cui­ dam das informações e da comunicação social do Corpo de Bombeiros.",030305,Abstrata
0311-05 Subtenente Bombeiro Militar - Subtenente do corpo de Bombeiros  Militar.,"Previnem sinistros e acidentes; realizam salvamento, combatem incêndios e prestam atendimento pré-hospitalar. Controlam acidentes com produtos perigosos, comandam equipes de serviços de prontidão e chefiam guarnições. No desenvolvimento das ativi­ dades, a rapidez e a eficácia da comunicação são cruciais, tanto para atender ocorrên­ cias como para tranquilizar vítimas e orientar a população.",031105,Abstrata
0311-10 Sargento Bombeiro Militar - Sargento do Corpo de Bombeiros Militar.,"Previnem sinistros e acidentes; realizam salvamento, combatem incêndios e prestam atendimento pré-hospitalar. Controlam acidentes com produtos perigosos, comandam equipes de serviços de prontidão e chefiam guarnições. No desenvolvimento das ativi­ dades, a rapidez e a eficácia da comunicação são cruciais, tanto para atender ocorrên­ cias como para tranquilizar vítimas e orientar a população.",031110,Abstrata
0312-05 Cabo Bombeiro Militar,"Realizam resgates e salvamentos; combatem incêndios; previnem acidentes e sinistros; preparam-se para ocorrências. Atendem ocorrências com produtos perigosos. Traba­ lham conforme normas e procedimentos técnicos, de segurança e preservação do meio ambiente. Estabelecem comunicação, triando e transmitindo informações, transmitindo e recebendo mensagens.",031205,Abstrata
0312-10 Soldado Bombeiro Militar,"Realizam resgates e salvamentos; combatem incêndios; previnem acidentes e sinistros; preparam-se para ocorrências. Atendem ocorrências com produtos perigosos. Traba­ lham conforme normas e procedimentos técnicos, de segurança e preservação do meio ambiente. Estabelecem comunicação, triando e transmitindo informações, transmitindo e recebendo mensagens.",031210,Abstrata
1111-05 Senador,"Estudam as matérias previstas nas constituições federal e estaduais e deliberam sobre as mesmas; elaboram regimentos e discutem e votam o orçamento; dispõem sobre diversas matérias de competência da união, estados e municípios, como tributos, ar­ recadação, distribuição de rendas, orçamentos, créditos, dívidas públicas, planos de desenvolvimento, criação de cargos públicos, limites territoriais e organização adminis­ trativa e judiciária; dispõem sobre matérias de interesse nacional, bem como tratados e outros assuntos internacionais.",111105,Abstrata
1111-10 Deputado Federal,"Estudam as matérias previstas nas constituições federal e estaduais e deliberam sobre as mesmas; elaboram regimentos e discutem e votam o orçamento; dispõem sobre diversas matérias de competência da união, estados e municípios, como tributos, ar­ recadação, distribuição de rendas, orçamentos, créditos, dívidas públicas, planos de desenvolvimento, criação de cargos públicos, limites territoriais e organização adminis­ trativa e judiciária; dispõem sobre matérias de interesse nacional, bem como tratados e outros assuntos internacionais.",111110,Abstrata
1111-15 Deputado Estadual e Distrital,"Estudam as matérias previstas nas constituições federal e estaduais e deliberam sobre as mesmas; elaboram regimentos e discutem e votam o orçamento; dispõem sobre diversas matérias de competência da união, estados e municípios, como tributos, ar­ recadação, distribuição de rendas, orçamentos, créditos, dívidas públicas, planos de desenvolvimento, criação de cargos públicos, limites territoriais e organização adminis­ trativa e judiciária; dispõem sobre matérias de interesse nacional, bem como tratados e outros assuntos internacionais.",111115,Abstrata
1111-20 Vereador,"Estudam as matérias previstas nas constituições federal e estaduais e deliberam sobre as mesmas; elaboram regimentos e discutem e votam o orçamento; dispõem sobre diversas matérias de competência da união, estados e municípios, como tributos, ar­ recadação, distribuição de rendas, orçamentos, créditos, dívidas públicas, planos de desenvolvimento, criação de cargos públicos, limites territoriais e organização adminis­ trativa e judiciária; dispõem sobre matérias de interesse nacional, bem como tratados e outros assuntos internacionais.",111120,Abstrata
1112-05 Presidente da República,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111205,Abstrata
1112-10 Vice-Presidente da República,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111210,Abstrata
1112-15 Ministro de Estado,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111215,Abstrata
1112-20 Secretário-Executivo,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111220,Abstrata
1112-25 Membro Superior do Poder Executivo,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111225,Abstrata
1112-30 Governador de Estado,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111230,Abstrata
1112-35 Governador do Distrito Federal,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111235,Abstrata
1112-40 Vice-Governador de Estado,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111240,Abstrata
1112-45 Vice-Governador do Distrito Federal,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111245,Abstrata
1112-50 Prefeito,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111250,Abstrata
1112-55 Vice-Prefeito,"Dirigem e administram um governo nacional, estadual e distrital ou municipal, de um minis­ tério ou órgão assemelhado, fixando políticas globais e setoriais, acompanhando a execução das mesmas e avaliando seus resultados, para assegurar o bem-estar geral, a integridade e segurança do país e a defesa das instituições.",111255,Abstrata
1113-05 Ministro do Supremo Tribunal Federal,"Decidem conflitos individuais e coletivos em nome do estado, aplicando o direito a casos concretos, para isso, dirigem sessões e audiências judiciais, estabelecem critérios para a promoção da igualdade das partes, avaliam necessidade de provas para um julgamento seguro, decretam condenações ou absolvições em processos criminais, entre outras coisas; conciliam interesses, ouvindo e convocando as partes e propondo alternativas de acor­ do; efetivam o cumprimento das decisões; homologam situações não conflituosas; gerem atividades administrativas do judiciário; coordenam processo eleitoral; exercem atividades correlatas à função jurisdicional e organizam jurisprudência.",111305,Abstrata
1113-10 Ministro do Superior Tribunal de Justiça,"Decidem conflitos individuais e coletivos em nome do estado, aplicando o direito a casos concretos, para isso, dirigem sessões e audiências judiciais, estabelecem critérios para a promoção da igualdade das partes, avaliam necessidade de provas para um julgamento seguro, decretam condenações ou absolvições em processos criminais, entre outras coisas; conciliam interesses, ouvindo e convocando as partes e propondo alternativas de acor­ do; efetivam o cumprimento das decisões; homologam situações não conflituosas; gerem atividades administrativas do judiciário; coordenam processo eleitoral; exercem atividades correlatas à função jurisdicional e organizam jurisprudência.",111310,Abstrata
1113-15 Ministro do Superior Tribunal Militar,"Decidem conflitos individuais e coletivos em nome do estado, aplicando o direito a casos concretos, para isso, dirigem sessões e audiências judiciais, estabelecem critérios para a promoção da igualdade das partes, avaliam necessidade de provas para um julgamento seguro, decretam condenações ou absolvições em processos criminais, entre outras coisas; conciliam interesses, ouvindo e convocando as partes e propondo alternativas de acor­ do; efetivam o cumprimento das decisões; homologam situações não conflituosas; gerem atividades administrativas do judiciário; coordenam processo eleitoral; exercem atividades correlatas à função jurisdicional e organizam jurisprudência.",111315,Abstrata
1113-20 Ministro do Superior Tribunal do Trabalho - Juiz do Tribunal Regio­ nal do Trabalho; Juiz federal  de segunda  instância.,"Decidem conflitos individuais e coletivos em nome do estado, aplicando o direito a casos concretos, para isso, dirigem sessões e audiências judiciais, estabelecem critérios para a promoção da igualdade das partes, avaliam necessidade de provas para um julgamento seguro, decretam condenações ou absolvições em processos criminais, entre outras coisas; conciliam interesses, ouvindo e convocando as partes e propondo alternativas de acor­ do; efetivam o cumprimento das decisões; homologam situações não conflituosas; gerem atividades administrativas do judiciário; coordenam processo eleitoral; exercem atividades correlatas à função jurisdicional e organizam jurisprudência.",111320,Abstrata
1113-25 Juiz de Direito - Desembargadores; Juiz de alçada; Juiz de direito de  primeira instância,"Decidem conflitos individuais e coletivos em nome do estado, aplicando o direito a casos concretos, para isso, dirigem sessões e audiências judiciais, estabelecem critérios para a promoção da igualdade das partes, avaliam necessidade de provas para um julgamento seguro, decretam condenações ou absolvições em processos criminais, entre outras coisas; conciliam interesses, ouvindo e convocando as partes e propondo alternativas de acor­ do; efetivam o cumprimento das decisões; homologam situações não conflituosas; gerem atividades administrativas do judiciário; coordenam processo eleitoral; exercem atividades correlatas à função jurisdicional e organizam jurisprudência.",111325,Abstrata
1113-30 Juiz Federal - Juiz do Tribunal Regional Federal.,"Decidem conflitos individuais e coletivos em nome do estado, aplicando o direito a casos concretos, para isso, dirigem sessões e audiências judiciais, estabelecem critérios para a promoção da igualdade das partes, avaliam necessidade de provas para um julgamento seguro, decretam condenações ou absolvições em processos criminais, entre outras coisas; conciliam interesses, ouvindo e convocando as partes e propondo alternativas de acor­ do; efetivam o cumprimento das decisões; homologam situações não conflituosas; gerem atividades administrativas do judiciário; coordenam processo eleitoral; exercem atividades correlatas à função jurisdicional e organizam jurisprudência.",111330,Abstrata
1113-35 Juiz Auditor Federal - Justiça Militar,"Decidem conflitos individuais e coletivos em nome do estado, aplicando o direito a casos concretos, para isso, dirigem sessões e audiências judiciais, estabelecem critérios para a promoção da igualdade das partes, avaliam necessidade de provas para um julgamento seguro, decretam condenações ou absolvições em processos criminais, entre outras coisas; conciliam interesses, ouvindo e convocando as partes e propondo alternativas de acor­ do; efetivam o cumprimento das decisões; homologam situações não conflituosas; gerem atividades administrativas do judiciário; coordenam processo eleitoral; exercem atividades correlatas à função jurisdicional e organizam jurisprudência.",111335,Abstrata
1113-40 Juiz Auditor Estadual - Justiça Militar - Juiz dos tribunais militares  estaduais.,"Decidem conflitos individuais e coletivos em nome do estado, aplicando o direito a casos concretos, para isso, dirigem sessões e audiências judiciais, estabelecem critérios para a promoção da igualdade das partes, avaliam necessidade de provas para um julgamento seguro, decretam condenações ou absolvições em processos criminais, entre outras coisas; conciliam interesses, ouvindo e convocando as partes e propondo alternativas de acor­ do; efetivam o cumprimento das decisões; homologam situações não conflituosas; gerem atividades administrativas do judiciário; coordenam processo eleitoral; exercem atividades correlatas à função jurisdicional e organizam jurisprudência.",111340,Abstrata
1114-05 Dirigente do serviço público federal - Conselheiro (diplomacia); Coor­ denador  do serviço público federal; Coordenador-geral do serviço público federal; Dire­ tor do serviço público federal; Funcionário público federal superior; Gerente do serviço  público federal; Ministro (diplomacia); Secretário de estado (serviço público federal);  Secretário (diplomacia); Subsecretário de estado (serviço público federal).,"Garantem suporte na gestão de pessoas, na administração de material, patrimônio, in­ formática e serviços para as áreas meios e finalísticas da administração pública federal, estadual, distrital e municipal. Definem diretrizes, planejam, coordenam e supervisio­ nam ações, monitorando resultados e fomentando políticas de mudança.",111405,Abstrata
1114-10 Dirigente do serviço público estadual e distrital - Chefe do serviço  público estadual e distrital; Coordenador do serviço público estadual e distrital; Fun­ cionário público estadual e distrital superior; Gerente do serviço público estadual e  distrital; Secretário estadual e distrital (serviço público estadual e distrital).,"Garantem suporte na gestão de pessoas, na administração de material, patrimônio, in­ formática e serviços para as áreas meios e finalísticas da administração pública federal, estadual, distrital e municipal. Definem diretrizes, planejam, coordenam e supervisio­ nam ações, monitorando resultados e fomentando políticas de mudança.",111410,Abstrata
1114-15 Dirigente do serviço público municipal - Chefe de assessoria técnica  do serviço público municipal; Chefe de gabinete do serviço público municipal; Diretor  de departamento do  serviço público municipal; Diretor de divisão do serviço públi­ co municipal; Funcionário público municipal superior; Secretário municipal (serviço  público municipal).,"Garantem suporte na gestão de pessoas, na administração de material, patrimônio, in­ formática e serviços para as áreas meios e finalísticas da administração pública federal, estadual, distrital e municipal. Definem diretrizes, planejam, coordenam e supervisio­ nam ações, monitorando resultados e fomentando políticas de mudança.",111415,Abstrata
1115-05 Especialista de políticas públicas e gestão governamental – Eppgg,"Formulam, implementam e avaliam políticas públicas, supervisionam e executam ativi­ dades de planejamento e orçamento governamental de qualquer instituição da admi­ nistração federal.",111505,Abstrata
1115-10 Analista de planejamento e orçamento – Apo,"Formulam, implementam e avaliam políticas públicas, supervisionam e executam ativi­ dades de planejamento e orçamento governamental de qualquer instituição da admi­ nistração federal.",111510,Abstrata
1130-05 Cacique - Morubixaba; Tuxaua.,"Organizam coletivamente as comunidades indígenas, quilombolas e caiçaras; pre­ servam usos, costumes e artes da aldeia e da comunidade. Cobram providências para demarcação e manejo da área indígena, quilombola e caiçara. Articulam questões políticas; reivindicam melhorias para educação e saúde; buscam recur­ sos em órgãos competentes. Providenciam e solicitam documentação. Realizam a manutenção e a preservação da medicina tradicional. Cobram a implantação de gestão dos recursos naturais.",113005,Abstrata
1130-10 Líder de comunidade caiçara,"Organizam coletivamente as comunidades indígenas, quilombolas e caiçaras; pre­ servam usos, costumes e artes da aldeia e da comunidade. Cobram providências para demarcação e manejo da área indígena, quilombola e caiçara. Articulam questões políticas; reivindicam melhorias para educação e saúde; buscam recur­ sos em órgãos competentes. Providenciam e solicitam documentação. Realizam a manutenção e a preservação da medicina tradicional. Cobram a implantação de gestão dos recursos naturais.",113010,Abstrata
1130-15 Membro de liderança quilombola - Coordenador de associação quilom­ bola; Líder quilombola.,"Organizam coletivamente as comunidades indígenas, quilombolas e caiçaras; pre­ servam usos, costumes e artes da aldeia e da comunidade. Cobram providências para demarcação e manejo da área indígena, quilombola e caiçara. Articulam questões políticas; reivindicam melhorias para educação e saúde; buscam recur­ sos em órgãos competentes. Providenciam e solicitam documentação. Realizam a manutenção e a preservação da medicina tradicional. Cobram a implantação de gestão dos recursos naturais.",113015,Abstrata
1141-05 Dirigente de partido político - Dirigente partidário; Dirigente político;  Líder partidário.,"Desenvolvem ações político-partidárias; promovem eventos políticos; estruturam o par­ tido; coordenam campanhas eleitorais; administram recursos financeiros e gerenciam recursos humanos e materiais; atendem à legislação vigente e comunicam-se oral­ mente e por escrito, divulgando informações, ações e eventos do partido, elaborando relatórios, materiais de divulgação, manuais de orientação, entre outros.",114105,Abstrata
1142-05 Dirigentes de entidades de trabalhadores - Diretor de sindi­ cato de trabalhadores.,Defendem interesses e identificam demandas de associados e represen­ tados; administram e representam entidades; coordenam assistência a associados e representados; propõem políticas de atuação e mobilizam associados e representados.,114205,Abstrata
1142-10 Dirigentes de entidades patronais - Diretor de sindicato patronal.,Defendem interesses e identificam demandas de associados e represen­ tados; administram e representam entidades; coordenam assistência a associados e representados; propõem políticas de atuação e mobilizam associados e representados.,114210,Abstrata
1143-05 Dirigente e administrador de organização religiosa - Coordenador de  entidade religiosa; Diretor de entidade religiosa; Gestor de entidade religiosa; Secretá­ rio-executivo de entidade religiosa.,"Implementam a missão religiosa; representam, jurídica e legalmente, a instituição; geren­ ciam operações administrativas e financeiras; coordenam atividades; articulam recursos hu­ manos e materiais; comunicam-se oralmente e por escrito.",114305,Abstrata
1144-05 Dirigente e administrador de organização da sociedade civil  sem fins lucrativos - Dirigente de clube e associação esportiva; Dirigente de  organização de defesa de direitos; Dirigente de organização de desenvolvimen­ to cultural; Dirigente de organização de proteção ao meio ambiente; Dirigente  de organização filantrópica; Dirigente de organização humanitária; Dirigente de  organização não-governamental.,"Promovem a sustentabilidade institucional; articulam alianças; representam a instituição e planejam políticas e estratégias. Comunicam-se, oralmente e por escrito; desenvolvem políticas e estratégias de recursos humanos; gerenciam operações administrativas e financeiras e coordenam atividades.",114405,Abstrata
1210-05 Diretor de planejamento estratégico,"Os diretores gerais, no mais alto nível da empresa, asseguram cumprimento da missão na empresa; estabelecem estratégias operacionais; determinam política de recursos humanos; coordenam diretorias e supervisionam negócios da empresa. Negociam transferência de tecnologia; representam e preservam a imagem da empresa; comunicam-se por meio de reuniões com os demais diretores, concedem entrevistas e participam de negociações.",121005,Abstrata
1210-10 Diretor geral de empresa e organizações (exceto de interesse público),"Os diretores gerais, no mais alto nível da empresa, asseguram cumprimento da missão na empresa; estabelecem estratégias operacionais; determinam política de recursos humanos; coordenam diretorias e supervisionam negócios da empresa. Negociam transferência de tecnologia; representam e preservam a imagem da empresa; comunicam-se por meio de reuniões com os demais diretores, concedem entrevistas e participam de negociações.",121010,Abstrata
